dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D5,48,0,SeasonalNaive,h1,12,ETS,11.593852043151855,4.714763641357422,1.1040045396964688,0.9048289476861399,3.510662264759043,3.573387039951731,0.3603177645134406,0.0,1.0,2.053766438276549,3.1273065474627706,True
D5,48,0,SeasonalNaive,h1_6,12,ETS,11.593852043151855,4.714763641357422,0.9039002301498928,0.8159147653668347,2.7319524969621454,2.7777929469797717,0.3198498707464584,0.5,1.0,2.053766438276549,3.127306547462769,True
D5,48,0,SeasonalNaive,h1_12,12,ETS,11.593852043151855,4.714763641357422,0.7412684577403711,0.7044255317434034,2.362118584257134,2.399210422259126,0.2785878457494629,0.6666666666666666,1.0,2.053766438276549,3.12730654746277,True
D5,48,1,SeasonalNaive,h1,12,ETS,11.593852043151855,4.714763641357422,0.6106660174408393,0.5142503133806604,1.8751426565021707,1.85772515806247,0.21484362847459396,1.0,1.0,1.9988300387059956,3.043653918386217,True
D5,48,1,SeasonalNaive,h1_6,12,ETS,11.593852043151855,4.714763641357422,0.5926457576887693,0.6428688605402407,1.722570597061785,1.6985286088897242,0.24914437511895182,0.8333333333333334,1.0,1.9988300387059956,3.043653918386217,True
D5,48,1,SeasonalNaive,h1_12,12,ETS,11.593852043151855,4.714763641357422,0.6694097650707663,0.7284870227390459,2.067681658456321,2.032407812807216,0.2758197211248261,0.75,0.9166666666666666,1.9988300387059956,3.043653918386217,True
D5,48,2,SeasonalNaive,h1,12,ETS,11.593852043151855,4.714763641357422,0.653091797248884,0.5550602813652685,2.003454543395441,2.023726766318298,0.2248875602458023,1.0,1.0,1.9805269535228942,3.0157834862547395,True
D5,48,2,SeasonalNaive,h1_6,12,ETS,11.593852043151855,4.714763641357422,0.5787429705723419,0.5847127060102195,1.7227857539623885,1.7437322614945585,0.231858456598748,0.6666666666666666,1.0,1.9805269535228942,3.0157834862547395,True
D5,48,2,SeasonalNaive,h1_12,12,ETS,11.593852043151855,4.714763641357422,0.6079510680819801,0.6786914581268567,1.9320714599078637,1.9651830127385468,0.25557522427914264,0.75,0.9166666666666666,1.9805269535228942,3.0157834862547395,True
D5,48,3,SeasonalNaive,h1,12,ETS,11.593852043151855,4.714763641357422,0.7144669256388633,0.5982557265343987,2.676905045436179,2.641549164011627,0.2425878113073053,1.0,1.0,2.0102123845484123,3.060986018090964,True
