dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D5,96,0,SeasonalNaive,h1,12,ETS,29.645927667617798,5.113276243209839,0.7809675148841868,0.6744790943581052,1.992479990195485,1.9728259094518745,0.25971649934010715,1.0,1.0,1.9489969333526256,2.967772165842458,True
D5,96,0,SeasonalNaive,h1_6,12,ETS,29.645927667617798,5.113276243209839,2.0604895384058675,1.8787572185653845,5.064585231544649,4.925756029971059,0.8164729259315799,0.16666666666666666,0.16666666666666666,1.9489969333526265,2.9677721658424563,True
D5,96,0,SeasonalNaive,h1_12,12,ETS,29.645927667617798,5.113276243209839,1.7671077792489043,1.6308771161185105,4.518415585260171,4.4060488650429335,0.6731723241961037,0.16666666666666666,0.3333333333333333,1.948996933352626,2.9677721658424567,True
D5,96,1,SeasonalNaive,h1,12,ETS,29.645927667617798,5.113276243209839,0.5340046636364132,0.46520921258641906,1.5931788464834684,1.5805880492580557,0.19829555867333848,1.0,1.0,1.9321614945872563,2.9421365449173495,True
D5,96,1,SeasonalNaive,h1_6,12,ETS,29.645927667617798,5.113276243209839,0.586025123338204,0.6401917030288532,1.63406397884649,1.6154990876269526,0.24016540949316392,0.8333333333333334,1.0,1.9321614945872563,2.942136544917347,True
D5,96,1,SeasonalNaive,h1_12,12,ETS,29.645927667617798,5.113276243209839,0.5027819772190375,0.5717002287019356,1.4556579478018477,1.4425332443092478,0.22122205585961413,0.8333333333333334,1.0,1.9321614945872563,2.942136544917348,True
D5,96,2,SeasonalNaive,h1,12,ETS,29.645927667617798,5.113276243209839,1.4462956193479242,1.2583559572258258,5.304873291779448,5.167800653460533,0.4974342241934074,0.0,1.0,1.9346403476329828,2.945911138374336,True
D5,96,2,SeasonalNaive,h1_6,12,ETS,29.645927667617798,5.113276243209839,0.7425166184011579,0.7087027605155203,2.6210725507949504,2.5796210679089744,0.2627583909816858,0.8333333333333334,1.0,1.9346403476329852,2.945911138374336,True
D5,96,2,SeasonalNaive,h1_12,12,ETS,29.645927667617798,5.113276243209839,0.6094248704000467,0.6261266392143133,2.1995877290676438,2.166111457137941,0.237467406859729,0.8333333333333334,1.0,1.934640347632984,2.945911138374336,True
D5,96,3,SeasonalNaive,h1,12,ETS,29.645927667617798,5.113276243209839,1.3208125938912427,1.2062916346798007,5.513206346791903,5.365306147273747,0.45171340778481606,0.0,1.0,1.8430434111141896,2.80643486007703,True
D5,96,3,SeasonalNaive,h1_6,12,ETS,29.645927667617798,5.113276243209839,0.904101069976286,0.9007435148899015,3.5908295243729365,3.5155325100409494,0.31603093393640636,0.5,1.0,1.8430434111141896,2.80643486007703,True
