dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D2,200,0,SeasonalNaive,h1,1,ARIMA,10.004302024841309,5.50453782081604,2.115255881553696,1.6565952374147876,4.261381462846609,4.17247884287096,0.8035814778329698,0.0,0.0,2.1492809156372608,3.2727481346172893,True
D2,200,0,SeasonalNaive,h1_6,1,ARIMA,10.004302024841309,5.50453782081604,4.953546593161766,4.010953870807843,9.670478800856568,9.197349747839704,2.0181422817043817,0.0,0.0,3.880104750016415,5.908304256714996,True
D2,200,0,SeasonalNaive,h1_12,1,ARIMA,10.004302024841309,5.50453782081604,5.408513019311598,4.363374845101002,10.513595878949955,9.961592585852198,2.0908325156368965,0.0,0.16666666666666666,5.238693947526776,7.977052101407469,True
D2,200,1,SeasonalNaive,h1,1,ARIMA,10.004302024841309,5.50453782081604,0.9527035060582781,0.7803607735869309,1.6209157508227454,1.6078845240699005,0.3097474488069025,1.0,1.0,2.0549866859977035,3.129164640290081,True
D2,200,1,SeasonalNaive,h1_6,1,ARIMA,10.004302024841309,5.50453782081604,1.4652536909307103,1.3193957290424894,2.5078387204681145,2.5036482510984923,0.5112668488908825,0.8333333333333334,1.0,3.7098750300846906,5.649092445774134,True
D2,200,1,SeasonalNaive,h1_12,1,ARIMA,10.004302024841309,5.50453782081604,1.2623577507362749,1.1749527206511783,2.160129517162386,2.155920800912713,0.5365720300112188,0.9166666666666666,1.0,5.0088595845519785,7.627079244335087,True
D2,200,2,SeasonalNaive,h1,1,ARIMA,10.004302024841309,5.50453782081604,0.37741031672842096,0.2995419233855278,0.7031662134208156,0.700702661235641,0.18286790107409315,1.0,1.0,2.120815228386589,3.229402928240387,True
D2,200,2,SeasonalNaive,h1_6,1,ARIMA,10.004302024841309,5.50453782081604,1.0676387182045342,1.1396674258901114,2.0321771405956586,2.0698449632162808,0.46612632743995375,0.6666666666666666,1.0,3.82871554002055,5.830052996058565,True
D2,200,2,SeasonalNaive,h1_12,1,ARIMA,10.004302024841309,5.50453782081604,1.0083388665926993,1.0589885153707663,1.8904209649294759,1.8967939875953095,0.5183666225868478,0.8333333333333334,1.0,5.169311196101731,7.871401756378648,True
D2,200,3,SeasonalNaive,h1,1,ARIMA,10.004302024841309,5.50453782081604,0.28183723398498656,0.22152402119951178,0.49114963375223153,0.4899464486581482,0.1726094223533105,1.0,1.0,2.1415302886687124,3.260946117594355,True
D2,200,3,SeasonalNaive,h1_6,1,ARIMA,10.004302024841309,5.50453782081604,2.125899330660359,1.849023926167678,3.7999736280324456,3.8904314290693716,0.7244380317434842,0.3333333333333333,1.0,3.8661125146145934,5.886998031931975,True
D2,200,3,SeasonalNaive,h1_12,1,ARIMA,10.004302024841309,5.50453782081604,2.148841786063949,1.8396883616433735,3.839438392918241,3.929371494299394,0.7508769151772525,0.5833333333333334,1.0,5.219802437210832,7.948285663899566,True
D2,200,4,SeasonalNaive,h1,1,ARIMA,10.004302024841309,5.50453782081604,1.3109191479633875,1.0324322694630792,2.392400117880785,2.421364481232449,0.43797812956424687,0.0,1.0,2.1372780046812587,3.2544710894179447,True
D2,200,4,SeasonalNaive,h1_6,1,ARIMA,10.004302024841309,5.50453782081604,1.0346382676684178,0.8772343054113139,1.8803790659344628,1.8953542089395345,0.42396646039599833,0.8333333333333334,1.0,3.858435850676402,5.87530863972595,True
D2,200,4,SeasonalNaive,h1_12,1,ARIMA,10.004302024841309,5.50453782081604,1.1845723225994675,1.165442652640127,2.127490173059524,2.120180464932795,0.550635734318985,0.8333333333333334,1.0,5.209437847721321,7.932503319827614,True
