dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D9,24,0,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.23300168506020816,0.18496897767196066,0.1265771868458406,0.12649712859243406,0.16834378858530386,1.0,1.0,2.120346536733509,3.228689243155241,True
D9,24,0,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,2.937835366840096,3.2212492033515794,1.6036414927782,1.6111022289027876,1.2661944897816555,0.5,0.5,3.8278694092536574,5.828764577746748,True
D9,24,0,SeasonalNaive,h1_12,1,ARIMA (mean only),7.150820016860962,4.863180637359619,2.6511995567142144,2.850575156187728,1.4392691005277145,1.4379524307943696,1.0933723052178546,0.6666666666666666,0.6666666666666666,5.168168799075651,7.869662208184233,True
D9,24,1,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.627709871831683,0.5019769115604362,0.5726445924565859,0.5742889096496793,0.22368160744990326,1.0,1.0,2.104853607767074,3.205097885689678,True
D9,24,1,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,2.061520782505649,1.8254712485414026,1.8971454427495549,1.919559310921362,0.7324210808930726,0.5,0.6666666666666666,3.799899967550168,5.786175013257776,True
D9,24,1,SeasonalNaive,h1_12,1,ARIMA (mean only),7.150820016860962,4.863180637359619,1.3399982786461346,1.352247154448145,1.2293248106737023,1.2399878916556626,0.6229675228165693,0.75,0.8333333333333334,5.130406069869122,7.812160231281376,True
D9,24,2,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,1.600248613784097,1.3775965093229041,2.5023340011252517,2.4714125034345007,0.5690072088192288,0.0,0.0,1.9552941710316651,2.9773610812407862,True
D9,24,2,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,1.587215796728047,1.6563639973044273,2.4723101111632353,2.433100527493414,0.5841516719832238,0.5,0.8333333333333334,3.5298997657781324,5.375040921726656,True
D9,24,2,SeasonalNaive,h1_12,1,ARIMA (mean only),7.150820016860962,4.863180637359619,2.4985293711670136,2.4603140610480185,3.8591186266852895,3.7671453103838006,0.877825577464086,0.4166666666666667,0.8333333333333334,4.765867348885326,7.257070661362702,True
D9,24,3,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,1.2722808720734757,1.0634542187225442,1.4892450885235726,1.4782377966320517,0.4271024929917073,0.0,1.0,2.0137746941132297,3.0664104099879617,True
D9,24,3,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.8128049873036517,0.8894599678596568,0.9512391422432346,0.9440847044964772,0.40228766653002246,0.6666666666666666,1.0,3.635474869405256,5.53580200276722,True
D9,24,3,SeasonalNaive,h1_12,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.9529454849565449,1.0706640792756377,1.1145241772815442,1.1055071634896705,0.4972445395107548,0.75,1.0,4.908408772896774,7.47412101348051,True
D9,24,4,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,4.0981749000528955,3.272390685070424,3.6337336280989634,3.700975422343653,1.7999196078636015,0.0,0.0,2.108006865143508,3.209899406571229,True
D9,24,4,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,2.8107346521370085,2.413046753664757,2.4829025490903875,2.5192134396689894,1.0616681678312934,0.3333333333333333,0.5,3.805592554701228,5.794843216583017,True
D9,24,4,SeasonalNaive,h1_12,1,ARIMA (mean only),7.150820016860962,4.863180637359619,2.8160378489405464,2.4581339274930145,2.4888748129514466,2.5266404350112364,1.0391738599030695,0.4166666666666667,0.75,5.138091873159337,7.823863540140666,True
D9,24,5,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,1.496880442583761,1.0955671611153206,1.4988427523960355,1.5101602158685927,0.5048339789431574,0.0,1.0,2.2998249843779353,3.5019842556678933,True
D9,24,5,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.7802912814134008,0.644311900580181,0.7791375170964857,0.7828174945678572,0.4004646389891491,0.8333333333333334,1.0,4.151882511572706,6.32214507002724,True
D9,24,5,SeasonalNaive,h1_12,1,ARIMA (mean only),7.150820016860962,4.863180637359619,1.2943830591520664,1.0830794945296047,1.2972533735988117,1.3082847545284242,0.5598420613206888,0.9166666666666666,1.0,5.605632627347542,8.535796131173479,True
D9,24,6,SeasonalNaive,h1,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.395166610245193,0.32854684221243813,0.3611792482796954,0.3618326805575293,0.18038223223513225,1.0,1.0,2.0245552064465784,3.0828260871442064,True
D9,24,6,SeasonalNaive,h1_6,1,ARIMA (mean only),7.150820016860962,4.863180637359619,0.720267694089958,0.7380156659877961,0.6540906192020245,0.6510899753824282,0.3467116839081271,0.8333333333333334,1.0,3.6549369680113197,5.5654372851750855,True
