dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D3,200,0,SeasonalNaive,h1,1,ARIMA,10.32226276397705,5.615124702453613,0.6938688691073721,0.5602426738876362,0.5897623467135018,0.5880283617806126,0.23850161111464152,1.0,1.0,2.084720785382763,3.1744412802997597,True
D3,200,0,SeasonalNaive,h1_6,1,ARIMA,10.32226276397705,5.615124702453613,1.6597234906307408,1.5261554831924025,1.4020229557830588,1.389426399791245,0.6139283723284767,0.5,0.8333333333333334,3.763554109176705,5.730830530678803,True
D3,200,0,SeasonalNaive,h1_12,1,ARIMA,10.32226276397705,5.615124702453613,1.9713509879292948,2.14440357765445,1.6554135085538884,1.631278698302939,0.7889877491257942,0.5833333333333334,0.8333333333333334,5.081333985338962,7.737437298630075,True
D3,200,1,SeasonalNaive,h1,1,ARIMA,10.32226276397705,5.615124702453613,0.8508219344072674,0.6826327925188326,1.1906061826163006,1.1835604109026974,0.28239039632759716,1.0,1.0,2.0979648614433746,3.1946082695968294,True
D3,200,1,SeasonalNaive,h1_6,1,ARIMA,10.32226276397705,5.615124702453613,5.575825440034414,5.035163455662253,7.4791651930024585,7.145110600623729,2.3577253247656476,0.16666666666666666,0.16666666666666666,3.7874636884496744,5.767238070705701,True
D3,200,1,SeasonalNaive,h1_12,1,ARIMA,10.32226276397705,5.615124702453613,9.96521922171406,8.912471629849199,12.911142790478797,11.97005788529929,4.386923500809881,0.08333333333333333,0.08333333333333333,5.113615322131397,7.786592662175972,True
D3,200,2,SeasonalNaive,h1,1,ARIMA,10.32226276397705,5.615124702453613,0.371082603590647,0.29434213032842826,0.42441137378493127,0.42351265584451986,0.18188568042562103,1.0,1.0,2.122095115931466,3.231351835684037,True
D3,200,2,SeasonalNaive,h1_6,1,ARIMA,10.32226276397705,5.615124702453613,0.7499745177371612,0.7424982280036511,0.860903431492855,0.8623257507328563,0.35703581170091736,1.0,1.0,3.8310261257174663,5.833571365841895,True
D3,200,2,SeasonalNaive,h1_12,1,ARIMA,10.32226276397705,5.615124702453613,0.879786489768045,0.8288624272077235,1.0109672061926795,1.0136907170775926,0.4604452267828529,1.0,1.0,5.172430815824792,7.876152056609335,True
D3,200,3,SeasonalNaive,h1,1,ARIMA,10.32226276397705,5.615124702453613,0.38194171607444927,0.30892364704571046,0.4790181592611415,0.48016820571131935,0.18137651104970734,1.0,1.0,2.0810984287516927,3.168925453670916,True
D3,200,3,SeasonalNaive,h1_6,1,ARIMA,10.32226276397705,5.615124702453613,0.973427874711406,0.8932374543226825,1.209381556341542,1.2010096054913049,0.38520534882436025,1.0,1.0,3.757014655414145,5.720872788558126,True
D3,200,3,SeasonalNaive,h1_12,1,ARIMA,10.32226276397705,5.615124702453613,2.7558569693933315,2.9104721263067845,3.5440885566280755,3.648334036813584,1.0162271684431634,0.5833333333333334,0.75,5.072504791527658,7.7239929287639235,True
D3,200,4,SeasonalNaive,h1,1,ARIMA,10.32226276397705,5.615124702453613,0.31902749095515515,0.2494836923743549,0.6284182273407226,0.6303989984463276,0.17547568614573816,1.0,1.0,2.1524477846709034,3.2775703822104534,True
D3,200,4,SeasonalNaive,h1_6,1,ARIMA,10.32226276397705,5.615124702453613,1.6202407294900396,1.5850188731023083,3.1131276688129472,3.0490032002529244,0.5830824622621664,0.6666666666666666,1.0,3.8858219103423486,5.917009878049033,True
D3,200,4,SeasonalNaive,h1_12,1,ARIMA,10.32226276397705,5.615124702453613,5.213084110237538,5.089360923837548,9.491097532943725,8.858397035060985,2.102546928592247,0.3333333333333333,0.5,5.246412928102333,7.98880592990704,True
D3,200,5,SeasonalNaive,h1,1,ARIMA,10.32226276397705,5.615124702453613,0.16855789462033882,0.13580889352715678,0.15751763346542458,0.15764179027412073,0.1624764727330184,1.0,1.0,2.0891401073149134,3.1811706601144123,True
D3,200,5,SeasonalNaive,h1_6,1,ARIMA,10.32226276397705,5.615124702453613,1.4738226888382624,1.8515492206344897,1.354020009474004,1.3327249953881295,0.6190910195440935,0.6666666666666666,0.8333333333333334,3.77153232733145,5.742979104833803,True
