dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D2,96,0,SeasonalNaive,h1,1,ARIMA,8.873944759368896,4.637949466705322,0.9164922085250083,0.7258854996110027,1.4803303842852085,1.4694539972827731,0.30123076742931676,1.0,1.0,2.125236841105491,3.2361357962766144,True
D2,96,0,SeasonalNaive,h1_6,1,ARIMA,8.873944759368896,4.637949466705322,1.489754261409484,1.3252724467676191,2.4578252508716645,2.4927598082693496,0.5127505156023927,1.0,1.0,3.8366978937410425,5.842207867512797,True
D2,96,0,SeasonalNaive,h1_12,1,ARIMA,8.873944759368896,4.637949466705322,1.5832256739275699,1.3784408354779927,2.6150582515112295,2.655224187969017,0.5907853596671784,1.0,1.0,5.180088510328208,7.887812563720895,True
D2,96,1,SeasonalNaive,h1,1,ARIMA,8.873944759368896,4.637949466705322,1.0943303323259852,0.9031551806460022,1.7477405745071395,1.7631482027714043,0.35703357497865124,0.0,1.0,2.0395424041517995,3.1056473586569653,True
D2,96,1,SeasonalNaive,h1_6,1,ARIMA,8.873944759368896,4.637949466705322,1.5018191666437235,1.4254617308663722,2.350050669118055,2.3235712728067095,0.5334810751366673,0.6666666666666666,1.0,3.6819934112070047,5.606636610658221,True
D2,96,1,SeasonalNaive,h1_12,1,ARIMA,8.873944759368896,4.637949466705322,1.745328287782973,1.6935669831133977,2.71718857068727,2.67323666482418,0.6602155630650601,0.75,1.0,4.971215428666453,7.569757821129187,True
D2,96,2,SeasonalNaive,h1,1,ARIMA,8.873944759368896,4.637949466705322,0.823923284103188,0.6486767875866973,1.585124999449871,1.5977884717015052,0.2757970513400894,1.0,1.0,2.137987188708198,3.255550976502186,True
D2,96,2,SeasonalNaive,h1_6,1,ARIMA,8.873944759368896,4.637949466705322,2.060735187757034,1.9915469807294077,3.8248396379923895,3.7234531211154227,0.7369541798466531,0.5,0.8333333333333334,3.859716143211218,5.877258163854971,True
D2,96,2,SeasonalNaive,h1_12,1,ARIMA,8.873944759368896,4.637949466705322,2.9581909825627144,2.612768713252403,5.455307848836738,5.277943638244443,1.0203362496323785,0.4166666666666667,0.8333333333333334,5.21116642495965,7.935135455018092,True
D2,96,3,SeasonalNaive,h1,1,ARIMA,8.873944759368896,4.637949466705322,0.37133880682078707,0.30752212516570093,0.6874550922042464,0.6898262149251779,0.17686301006730515,1.0,1.0,2.0325472484401446,3.09499571110353,True
D2,96,3,SeasonalNaive,h1_6,1,ARIMA,8.873944759368896,4.637949466705322,1.1655422725379807,1.2190646240189082,2.1154592027779833,2.082013265713548,0.44446005457863086,0.8333333333333334,1.0,3.669365030846636,5.5874071521137765,True
D2,96,3,SeasonalNaive,h1_12,1,ARIMA,8.873944759368896,4.637949466705322,1.0771780186784559,1.0925542633558363,1.9588535543656933,1.9313956845467395,0.49488958468407895,0.9166666666666666,1.0,4.954165316872273,7.543795313779204,True
D2,96,4,SeasonalNaive,h1,1,ARIMA,8.873944759368896,4.637949466705322,0.2296919996480899,0.18379524986898937,0.3776968067678739,0.37841143071299777,0.16693083261661212,1.0,1.0,2.1035762809261938,3.2031528774753784,True
D2,96,4,SeasonalNaive,h1_6,1,ARIMA,8.873944759368896,4.637949466705322,2.2901240042111177,2.2792770226543353,3.862310315475025,3.9741500711705258,0.8508361172704941,0.5,0.6666666666666666,3.7975940047015992,5.782663682767558,True
D2,96,4,SeasonalNaive,h1_12,1,ARIMA,8.873944759368896,4.637949466705322,1.3977587223324586,1.6446770916802755,2.346065742260573,2.402182305771645,0.6760717722263933,0.75,0.8333333333333334,5.127292691649647,7.807419435098792,True
D2,96,5,SeasonalNaive,h1,1,ARIMA,8.873944759368896,4.637949466705322,1.137811833226299,0.9153948920710553,2.412994291056713,2.3842286405654214,0.37217259466684965,0.0,1.0,2.0922262226900146,3.1858699426807586,True
