dgp,n,rep,method,horizon_slice,m,correct_model,classical_cell_secs,timesfm_cell_secs,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
D1,48,0,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,0.7290155174706651,0.6294409099346422,1.281249871072275,1.2730941127332631,0.24529694837748459,1.0,1.0,1.9495235515313631,2.968574056674667,True
D1,48,0,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,0.5656583359240007,0.6358386519877373,0.992550147952782,0.9847043614950232,0.33355328421778824,1.0,1.0,3.5194820451485325,5.3591776739262205,True
D1,48,0,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.1916635446436545,1.2212188432051694,2.115013829549013,2.1232223752941053,0.49725442064573294,1.0,1.0,4.751801942530227,7.2356530178725595,True
D1,48,1,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,0.7650689050204033,0.6377385688776319,1.8123228015150108,1.7960477104239603,0.25684377051745133,1.0,1.0,2.0193172156570665,3.0748501057539834,True
D1,48,1,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,1.7613327655727284,1.6314130564934406,4.104139913786905,4.003692101266532,0.6323522643895118,0.5,0.6666666666666666,3.6454808039542863,5.551038216606084,True
D1,48,1,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.3270770630562654,1.3066738849245492,3.1065786809693448,3.0442104186556347,0.5827034769949855,0.75,0.8333333333333334,4.921918209403901,7.494692071831594,True
D1,48,2,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,0.7552098346073416,0.6179353508425214,1.4972961945961256,1.508590226623769,0.25493613368946755,1.0,1.0,2.0571751777658243,3.1324970954845632,True
D1,48,2,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,1.1524103902166667,1.0170312926262093,2.298189110889129,2.329506479359944,0.43115949419193006,0.8333333333333334,1.0,3.713825922331054,5.655108539405863,True
D1,48,2,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.2198487554570712,1.1058377734984524,2.414842681240607,2.4303937996138414,0.5151186162729224,0.9166666666666666,1.0,5.014193851699864,7.635201827442199,True
D1,48,3,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,1.6883033110636212,1.3149120105216627,2.789566083222718,2.8290248419613677,0.5886931131855055,0.0,0.0,2.161227373288471,3.2909392173691328,True
D1,48,3,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,1.7219239210334636,1.3765183252009066,2.848104977949466,2.8915744519013495,0.5915607047860003,0.5,0.8333333333333334,3.901671733997485,5.941144685381089,True
D1,48,3,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.6029443110400763,1.4508138268940818,2.6528845353416433,2.6957545359918034,0.6556798026657195,0.6666666666666666,0.9166666666666666,5.2678124470847,8.021391356652192,True
D1,48,4,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,0.10868820721932056,0.08825275713578175,0.19124395024698954,0.19106125370250351,0.15796800965917462,1.0,1.0,2.073007257869907,3.1566048843970207,True
D1,48,4,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,0.9262193366909115,0.8878623409794805,1.6394699785033142,1.6480974614144797,0.3918915888572846,0.8333333333333334,1.0,3.742407634831989,5.698630419487259,True
D1,48,4,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.2680605659962207,1.1587877812397032,2.215497428695318,2.1985508591964456,0.5173768823022991,0.9166666666666666,1.0,5.0527832336715655,7.693962563158527,True
D1,48,5,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,0.4035444075496366,0.31438511914541206,0.6427020612493574,0.64064334725034,0.18947451807544347,1.0,1.0,2.160608256565003,3.2899964773638146,True
D1,48,5,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,0.938101532496744,0.9630764312122478,1.514880198860851,1.5315020721691166,0.410345856613049,1.0,1.0,3.900554040297209,5.939442753378606,True
D1,48,5,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.00550628543591,0.9582224175947748,1.6242612088594806,1.6425195043956318,0.49399022403873394,1.0,1.0,5.266303401427412,8.019093506090172,True
D1,48,6,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,1.4041702510115763,1.1799178674787183,2.530603764432965,2.563033880363045,0.47874966678820696,0.0,1.0,2.0031555269656374,3.050240416005057,True
D1,48,6,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,1.8735473072812394,1.8842773630620557,3.416264044179329,3.503105898972144,0.6731981418955196,0.5,0.8333333333333334,3.6163040478570974,5.5066102530967385,True
D1,48,6,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.6155489170365822,1.5931630517205233,2.933522175100327,2.9948871631520655,0.6310625772413182,0.75,0.9166666666666666,4.882525433841805,7.43470799445936,True
D1,48,7,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,2.1257691678496986,1.7764110193974882,3.814278515340344,3.7428962711788194,0.8247956035905101,0.0,0.0,2.0142776078294644,3.067176205615098,True
D1,48,7,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,1.756866019454518,1.5413607637677014,3.1577975635553797,3.104012951914958,0.6436117063485942,0.6666666666666666,0.6666666666666666,3.6363827813887606,5.537184496432336,True
D1,48,7,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.1704948600905243,1.1805184202708574,2.1178330251314272,2.095767311175144,0.5713118208499987,0.8333333333333334,0.8333333333333334,4.909634583363065,7.4759875767983965,True
D1,48,8,SeasonalNaive,h1,1,ARIMA,8.045960187911987,5.027388572692871,0.38079836778953247,0.29043876899748133,0.6091051518760507,0.607255738880758,0.18830335146347288,1.0,1.0,2.206922947289848,3.360520677607865,True
D1,48,8,SeasonalNaive,h1_6,1,ARIMA,8.045960187911987,5.027388572692871,1.2114166389492413,1.051563049711448,1.9418922460975485,1.9408491499665985,0.4567866525725084,0.8333333333333334,1.0,3.9841661219797517,6.066760351728415,True
D1,48,8,SeasonalNaive,h1_12,1,ARIMA,8.045960187911987,5.027388572692871,1.4792698264178072,1.3192391641823134,2.3830328152264864,2.394142060819346,0.5927086915181488,0.9166666666666666,1.0,5.379191618233567,8.190990394153815,True
