dgp,n,rep,method,MASE,RMSSE,sMAPE
D8,24,0,CrostonClassic,0.575,0.44465669402225655,127.39033472202748
D8,24,1,CrostonClassic,0.8389225502282674,0.57999718784856,172.33587774047388
D8,24,2,CrostonClassic,0.7781759228062292,0.713280501288541,180.3847966777891
D8,24,3,CrostonClassic,1.1468574688026087,0.9280916469654643,169.20213034349052
D8,24,4,CrostonClassic,0.6783269381927997,0.5275176903697092,171.6657059500428
D8,24,5,CrostonClassic,0.8768095883506306,0.5741738565082839,164.7559267303478
D8,24,6,CrostonClassic,1.0825420232862983,0.7135988060270105,174.75823445953225
D8,24,7,CrostonClassic,1.424776686906524,0.9391337963417086,178.7003160410559
D8,24,8,CrostonClassic,1.1312080511428473,0.8259264768283289,122.6861627662833
D8,24,9,CrostonClassic,0.5895447213717846,0.49170684135384995,140.67660874512325
D8,24,10,CrostonClassic,1.1590739482073744,1.0012333215457578,185.96258377748526
D8,24,11,CrostonClassic,1.8397182506968064,1.5143789558882972,179.8619044892743
D8,24,12,CrostonClassic,0.783799268010349,0.5471706466522863,190.2876706418222
D8,24,13,CrostonClassic,0.831855137017628,0.6900082447948839,161.7712413139698
D8,24,14,CrostonClassic,2.0454104739464243,1.7248988896833182,191.04906494105956
D8,24,15,CrostonClassic,0.9516007319973186,0.744098476421004,161.12798636619533
D8,24,16,CrostonClassic,0.6603510874110131,0.6079383585487319,101.45017131686389
D8,24,17,CrostonClassic,0.8837801067997316,0.7204155505368224,167.7070556581618
D8,24,18,CrostonClassic,0.7319296479029357,0.5654786095938398,170.56543195196107
D8,24,19,CrostonClassic,0.7958640868391383,0.6363173519413355,177.2333811938541
D8,24,20,CrostonClassic,0.9694438164660738,0.8252099773423507,173.48974621276366
D8,24,21,CrostonClassic,1.1373244154384279,0.9813266599084293,177.4884460806261
D8,24,22,CrostonClassic,0.8602501068299288,0.6628864767130703,148.7989735401709
D8,24,23,CrostonClassic,0.7194259545182391,0.5872353837734479,186.41108764280406
D8,24,24,CrostonClassic,1.2821553431833497,0.9047992863279483,144.10107302986825
D8,24,25,CrostonClassic,1.1383499338662832,0.7949719076867446,172.54265536949347
D8,24,26,CrostonClassic,0.8527980135599739,0.6511426528850704,174.56756960832055
D8,24,27,CrostonClassic,0.8919914852403583,0.6766277054403695,170.032330863863
D8,24,28,CrostonClassic,1.1014002751699634,0.7189268310473805,155.51039793243092
D8,24,29,CrostonClassic,0.9944145810760296,0.6803197756076325,200.0
D8,24,30,CrostonClassic,0.8507595189595134,0.6745311083902108,136.14871763503703
D8,24,31,CrostonClassic,1.416026031312102,1.0297549563892998,157.51166334592233
D8,24,32,CrostonClassic,1.5454984106898058,1.1191775103878707,165.94536745129503
