method,mean_MASE,median_MASE,mean_sMAPE,mean_SPL,cover60,cover80
SeasonalNaive,1.2768240564956201,1.0516079045636855,10.345190637441412,0.513541258755633,0.6139722601182356,0.7867022889192058
Theta,0.9672478154579645,0.7905753514158418,8.180491131112927,0.39773282172696595,0.5686675761709867,0.7344057905108383
AutoETS,0.9465000694077929,0.761546199576655,8.120163892528037,0.3839555775630348,0.6232946793997272,0.7908519023798697
AutoARIMA,0.918210453725422,0.7401552717041163,8.210425716456298,0.3743506764696258,0.6249431559799908,0.7850727603456117
Combination,0.9027007065844393,0.7360552614974487,7.821432423857661,0.3652737797857795,0.6348719114749128,0.8006480218281037
TimesFM3,0.9114309028730042,0.7434415525646161,7.823892335720071,0.3627215197630631,0.5663369713506139,0.7654805214491435
