horizon_slice,dgp,dgp_label,n,method,cover60,cover80,width60,width80
h1,D3,"ARIMA(1,1,1) with drift",48,Combination,0.63,0.83,1.8507849370522935,2.851829068598798
h1,D3,"ARIMA(1,1,1) with drift",48,SeasonalNaive,0.665,0.84,2.0814557630384276,3.169469572921163
h1,D3,"ARIMA(1,1,1) with drift",48,Theta,0.65,0.83,2.0002758426949425,3.146673619136733
h1,D3,"ARIMA(1,1,1) with drift",48,TimesFM3,0.565,0.8,1.69108958964584,2.7526796112968652
h1,D3,"ARIMA(1,1,1) with drift",96,AutoARIMA,0.605,0.795,1.5257408428361172,2.323272616888609
h1,D3,"ARIMA(1,1,1) with drift",96,AutoETS,0.65,0.815,1.9633302855283368,2.9895978151815275
h1,D3,"ARIMA(1,1,1) with drift",96,Combination,0.66,0.83,1.8381987269240145,2.8330878194049958
h1,D3,"ARIMA(1,1,1) with drift",96,SeasonalNaive,0.62,0.8,2.0966407243191743,3.1925919825346427
h1,D3,"ARIMA(1,1,1) with drift",96,Theta,0.555,0.78,2.02552505240759,3.1863930261448505
h1,D3,"ARIMA(1,1,1) with drift",96,TimesFM3,0.635,0.805,1.5708532822322372,2.4241142289289828
h1,D3,"ARIMA(1,1,1) with drift",200,AutoARIMA,0.6,0.825,1.520354278744259,2.315070400298231
h1,D3,"ARIMA(1,1,1) with drift",200,AutoETS,0.585,0.775,1.9297469578447517,2.938459887034939
h1,D3,"ARIMA(1,1,1) with drift",200,Combination,0.6,0.805,1.8324198971784142,2.824651890369696
h1,D3,"ARIMA(1,1,1) with drift",200,SeasonalNaive,0.555,0.785,2.1034578385682017,3.2029725231981065
h1,D3,"ARIMA(1,1,1) with drift",200,Theta,0.555,0.78,2.0471584549462336,3.2204253837759165
h1,D3,"ARIMA(1,1,1) with drift",200,TimesFM3,0.62,0.815,1.5798238379787255,2.3407219268389916
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",24,AutoARIMA,0.425,0.605,2.7117671757740665,4.129255929953474
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",24,AutoETS,0.35,0.56,3.6771715914688623,5.599294340302289
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",24,Combination,0.42,0.6,3.4367584265121467,5.299093540779811
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",24,SeasonalNaive,0.605,0.815,2.047555630425666,3.117849240295264
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",24,Theta,0.345,0.54,3.921336512293514,6.168730352083672
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",24,TimesFM3,0.565,0.785,2.5885525327517462,4.052137999320715
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",48,AutoARIMA,0.5,0.745,1.4770299806765521,2.249099723941738
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",48,AutoETS,0.345,0.58,2.1395348990760095,3.2579077025040624
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",48,Combination,0.46,0.64,1.7606204391301636,2.708905921309872
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",48,SeasonalNaive,0.62,0.815,2.074472340428146,3.158835791569103
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",48,Theta,0.36,0.515,1.6652964376379291,2.6197103374838173
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",48,TimesFM3,0.535,0.725,2.0705065248097414,3.2338291620699864
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",96,AutoARIMA,0.565,0.765,1.482600306332342,2.2575817575216948
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",96,AutoETS,0.355,0.52,3.0573001797119024,4.6554051577527495
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",96,Combination,0.41,0.57,2.406642854794469,3.7096637573948565
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",96,SeasonalNaive,0.64,0.8,2.094532850807007,3.189382286187012
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",96,Theta,0.29,0.43,2.6800280783391615,4.216004356910126
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",96,TimesFM3,0.48,0.73,2.2682061061386736,3.5927495013003408
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",200,AutoARIMA,0.535,0.745,1.472144415594252,2.2416603874207097
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",200,AutoETS,0.555,0.74,1.9331149396291618,2.9435883725773158
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",200,Combination,0.545,0.72,2.443228567425281,3.7862800803921157
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",200,SeasonalNaive,0.55,0.75,2.10322684243276,3.2026207812895127
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",200,Theta,0.345,0.54,3.9244263470524277,6.173591481178321
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",200,TimesFM3,0.52,0.77,2.238940851610891,3.557316228095205
h1,D5,"ETS(A,A,A)",24,AutoARIMA,0.425,0.595,1.6387738279041957,2.495389946149915
h1,D5,"ETS(A,A,A)",24,AutoETS,0.26,0.545,2.928912246640861,4.4599065770839506
h1,D5,"ETS(A,A,A)",24,Combination,0.345,0.55,2.436757896436042,3.7565714839333304
h1,D5,"ETS(A,A,A)",24,SeasonalNaive,0.465,0.74,1.9891174297806151,3.028864356672094
h1,D5,"ETS(A,A,A)",24,Theta,0.245,0.5,2.74258761476307,4.314417928566126
h1,D5,"ETS(A,A,A)",24,TimesFM3,0.57,0.74,1.9721279172669568,3.0703049868542536
h1,D5,"ETS(A,A,A)",48,AutoARIMA,0.525,0.76,1.1457224862814952,1.7446119315934476
h1,D5,"ETS(A,A,A)",48,AutoETS,0.56,0.745,1.096525184040391,1.6696983277148967
h1,D5,"ETS(A,A,A)",48,Combination,0.56,0.77,1.0934855082007606,1.6825121717888254
h1,D5,"ETS(A,A,A)",48,SeasonalNaive,0.48,0.775,2.007094081402096,3.0562377226350192
h1,D5,"ETS(A,A,A)",48,Theta,0.45,0.67,1.0382088542803956,1.633226256058132
h1,D5,"ETS(A,A,A)",48,TimesFM3,0.54,0.765,1.1756004983644022,1.808629897139466
h1,D5,"ETS(A,A,A)",96,AutoARIMA,0.555,0.72,1.1016931503268286,1.6775676815535
h1,D5,"ETS(A,A,A)",96,AutoETS,0.55,0.735,1.1052724884470608,1.6830180031335802
h1,D5,"ETS(A,A,A)",96,Combination,0.555,0.725,1.0482782723173256,1.6119886197344826
h1,D5,"ETS(A,A,A)",96,SeasonalNaive,0.54,0.775,2.0208686924063355,3.0772125668916313
h1,D5,"ETS(A,A,A)",96,Theta,0.475,0.665,0.9378691781780866,1.475380174516366
h1,D5,"ETS(A,A,A)",96,TimesFM3,0.585,0.77,1.1702234952871524,1.805114429838283
h1,D5,"ETS(A,A,A)",200,AutoARIMA,0.59,0.775,1.033223763882745,1.5733081335656436
h1,D5,"ETS(A,A,A)",200,AutoETS,0.54,0.775,1.0550552865594773,1.6065513799911333
h1,D5,"ETS(A,A,A)",200,Combination,0.56,0.745,1.0027213095360068,1.542316073894668
h1,D5,"ETS(A,A,A)",200,SeasonalNaive,0.56,0.79,2.032344926847891,3.094687632429956
