unique_id,origin,method,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
M10046,0,SeasonalNaive,2.2626324390255035,1.9249058920843594,9.978789466787259,9.449173927892558,0.8764693876390274,0.1111111111111111,0.16666666666666666,2.383892560882502,3.6299954440543694,True
M10046,0,Theta,0.7290384724100903,0.6545294076384983,3.079934821075058,3.0226937438925754,0.27310060735089076,0.3888888888888889,0.9444444444444444,1.4121186801715662,2.1520525798906394,True
M10046,0,AutoETS,0.3183620172696611,0.31283204255634944,1.331002634551558,1.319658684498858,0.18589007706461189,0.9444444444444444,1.0,2.093334067141672,3.187556877057851,True
M10046,0,AutoARIMA,0.7844338873148933,0.6934034016031804,3.3183584511159596,3.2535048932332575,0.2699433282466565,0.6666666666666666,0.9444444444444444,1.8300424306889351,2.7866380368114414,True
M10046,0,Combination,0.6009973146432244,0.5452175260961897,2.53043037023857,2.4910035717718575,0.2239950387170318,0.8333333333333334,1.0,1.778498392667391,2.7087491645866426,True
M10046,0,TimesFM3,0.6886976360331437,0.6164158761630519,2.9062814033996154,2.8554095586077235,0.24755092608296092,0.9444444444444444,1.0,2.055658588071198,3.1706552972705473,True
M10046,1,SeasonalNaive,1.5055478039984094,1.4508343046300956,6.804518820552525,6.494827466303919,0.5725987943169268,0.3888888888888889,0.6111111111111112,2.38144643422012,3.6262706836411964,True
M10046,1,Theta,1.5611740888943948,1.519692167649989,7.067589959571903,6.724571921995446,0.6708309887609218,0.2777777777777778,0.3888888888888889,1.416476312653069,2.158705670272262,True
M10046,1,AutoETS,1.5778990739819492,1.5464704713141977,7.146763335043921,6.79137144905691,0.5840062963875378,0.3333333333333333,0.4444444444444444,2.1044081114638695,3.204419520574786,True
M10046,1,AutoARIMA,1.5617022080338248,1.5305935685416703,7.069600733010403,6.721600724767541,0.6066443431792363,0.3333333333333333,0.4444444444444444,1.8320880991460622,2.7897530124195167,True
M10046,1,Combination,1.5651900140664334,1.5320629823894134,7.086286578987814,6.737572394257173,0.6196117497007159,0.2777777777777778,0.4444444444444444,1.7843241744210008,2.717626067755521,True
M10046,1,TimesFM3,1.2797826722718155,1.2720903710295117,5.738261583369622,5.5009112190093505,0.4980554462930184,0.3888888888888889,0.4444444444444444,1.4048653138352334,2.2218562184251094,True
M10046,2,SeasonalNaive,0.287041997986549,0.30798311753387997,1.4100854781495593,1.3967175441344883,0.19675456303943728,1.0,1.0,2.353346013286198,3.5834816747571794,True
M10046,2,Theta,0.23878393771796252,0.25091138557202985,1.1704115365274748,1.1592136774172048,0.13519890468625523,0.9444444444444444,1.0,1.3942528844643616,2.124806308700255,True
M10046,2,AutoETS,0.17249950068030045,0.18039315961953994,0.8430752244339611,0.8383489320680689,0.16368843496659974,1.0,1.0,2.070027126176819,3.152066985061235,True
M10046,2,AutoARIMA,0.2798990389514301,0.2746599280690968,1.3736061047075927,1.3601537660238765,0.15994300417976984,1.0,1.0,1.8115013714717079,2.758405237401405,True
M10046,2,Combination,0.21772869690403138,0.2301002970013905,1.0660373483720547,1.056732725540014,0.1497727688693875,1.0,1.0,1.7585937940376288,2.6784261770542983,True
M10046,2,TimesFM3,0.17964008890180916,0.16006652777583447,0.8782619204815671,0.8774392398966429,0.1340421635449107,1.0,1.0,1.6556411535612454,2.5997285656292917,True
M10114,0,SeasonalNaive,0.7455594002306806,0.7641428533259121,0.5270537363849314,0.5284914311914718,0.3222169134398998,0.6666666666666666,0.8888888888888888,2.5027078897857282,3.8109176507342086,True
M10114,0,Theta,0.5965142677491635,0.5708623967640528,0.4216714375516603,0.4212133601317862,0.2522451649031286,0.6666666666666666,0.8888888888888888,1.8097295357502072,2.735898943804675,True
M10114,0,AutoETS,0.5710511437901716,0.5372013486562747,0.40375850503961036,0.40349149704920517,0.2322629345130822,0.7777777777777778,0.9444444444444444,1.8003307220570959,2.74139549159845,True
M10114,0,AutoARIMA,0.5167350455698124,0.563878932035382,0.3652719668408508,0.3640522514366993,0.2473432716311381,0.7777777777777778,0.8888888888888888,1.9465284083167567,2.9640132990290846,True
M10114,0,Combination,0.5425239941006119,0.5334006997183581,0.3835241501915521,0.3828429569122047,0.23688478255800047,0.7222222222222222,0.8888888888888888,1.8521962220413448,2.8137692448107345,True
M10114,0,TimesFM3,0.48733312270220586,0.5291831508157787,0.3445332950783288,0.34355059307800395,0.2342511600356033,0.7777777777777778,0.8888888888888888,1.915346831747405,2.9521693823439303,True
M10114,1,SeasonalNaive,0.8812368236120872,0.838722474586181,0.6253385117237293,0.6247223272016981,0.3448611980553559,0.6666666666666666,0.9444444444444444,2.5023840448941477,3.8104245263794314,True
M10114,1,Theta,0.8015870168727743,0.6870538927928469,0.568265696751532,0.568638401597023,0.29282613276778585,0.5,0.8333333333333334,1.796390954717034,2.716136325382882,True
M10114,1,AutoETS,0.6442236648913299,0.6166971902802987,0.45704478772478596,0.45622643760438714,0.2528642344452888,0.6111111111111112,0.9444444444444444,1.7502083042382357,2.665073197836977,True
M10114,1,AutoARIMA,0.7672427773613059,0.6503235355692795,0.5443915699165791,0.5450101386646501,0.2735391541073407,0.6666666666666666,0.9444444444444444,1.9250932376210252,2.931373584788251,True
M10114,1,Combination,0.7250376257455977,0.6257653050097098,0.514338014636677,0.5143246612939486,0.26469589853640174,0.6666666666666666,0.9444444444444444,1.8238974988587635,2.770861036002704,True
M10114,1,TimesFM3,0.6364111980081694,0.5867039996446641,0.451324112263756,0.4507650616169787,0.24940656213856435,0.6666666666666666,0.9444444444444444,1.7989623594518622,2.771621955019106,True
M10114,2,SeasonalNaive,0.572068884170795,0.6471114570016253,0.4108027389406985,0.4110772772830476,0.2754530217845787,0.8888888888888888,1.0,2.488927355336103,3.789933786742343,True
M10114,2,Theta,0.7008067441941201,0.6719120889825625,0.5037884958444147,0.5042669588703582,0.2823910923348293,0.7222222222222222,0.8333333333333334,1.7770054732978535,2.687934109086473,True
M10114,2,AutoETS,0.7217347580029978,0.6979348059990786,0.519378142867166,0.5186069970362346,0.2835726448231331,0.5555555555555556,0.6666666666666666,1.2294655442235645,1.872128969814476,True
M10114,2,AutoARIMA,0.6572184836201057,0.5967789278387383,0.47269289603362213,0.4735719632610584,0.26185647074481044,0.7222222222222222,0.8888888888888888,1.9082253735339456,2.905688589251223,True
M10114,2,Combination,0.6684068990485156,0.6248463524015554,0.480700212547897,0.4809028246667972,0.2617728754264494,0.6111111111111112,0.8333333333333334,1.6382321303517917,2.488583889384056,True
M10114,2,TimesFM3,0.6060142450496875,0.6031553809136518,0.435974860425161,0.4355661129601605,0.25571497744468524,0.7222222222222222,0.8888888888888888,1.8813351180537126,2.8918992712295797,True
M10121,0,SeasonalNaive,2.490654239558948,2.1934153234379004,3.1311492636604354,3.078091530416451,0.9749496594365681,0.0,0.0,2.2874442289001826,3.4831318599199887,True
M10121,0,Theta,0.939394775532954,0.9081137455053452,1.1682747513421445,1.1592919312573362,0.39160569769772946,0.1111111111111111,0.3888888888888889,0.918271540055039,1.4021173553160513,True
M10121,0,AutoETS,0.5490854712450286,0.5005467633908903,0.6805219549049256,0.6778039343445165,0.20562869916014884,0.1111111111111111,0.3333333333333333,0.6093049819514866,0.9277994926519443,True
M10121,0,AutoARIMA,0.08878363842899707,0.09271850516264163,0.10942119924786985,0.10950723960903373,0.07111502338394264,0.9444444444444444,1.0,0.8839660045637939,1.346030698664396,True
M10121,0,Combination,0.46748219049807194,0.44203260185323234,0.5791497055123441,0.5770280480908823,0.16482872283263347,0.2777777777777778,0.8888888888888888,0.803847508856767,1.2253158488774651,True
M10121,0,TimesFM3,0.23061875543104618,0.2241301908903794,0.2847024250455337,0.2841624076836123,0.09924163328116602,1.0,1.0,1.0539036565160578,1.6675726462722673,True
M10121,1,SeasonalNaive,2.4292350224489114,2.163035251864523,3.0891872471312016,3.036265603596494,0.9436473502872819,0.0,0.0,2.2924585875383,3.4907673126706436,True
M10121,1,Theta,1.0149481442810093,1.0015018975936483,1.276820518992015,1.2656337158827822,0.43002191564139425,0.16666666666666666,0.3888888888888889,0.9232667312210926,1.4097075133196395,True
M10121,1,AutoETS,0.7355674671728402,0.7134460567623326,0.9223484173049323,0.9166995359967071,0.3013947803901875,0.16666666666666666,0.2777777777777778,0.5993202503388895,0.9125955649000905,True
M10121,1,AutoARIMA,0.13939214528047805,0.1596724920594396,0.1732546587934239,0.17298681116104134,0.07718199843782977,1.0,1.0,0.8968592079129689,1.3656634078664485,True
M10121,1,Combination,0.6165900928676953,0.614328423217239,0.7723711977377784,0.7681833346529939,0.23257384431989808,0.3333333333333333,0.5,0.80648206315765,1.2293221620287254,True
M10121,1,TimesFM3,0.2567497649200287,0.2822149210282931,0.3198634989021986,0.3189939089094207,0.10017845278136049,0.9444444444444444,1.0,0.9257201255336156,1.4502433524866816,True
M10121,2,SeasonalNaive,2.2212040415252208,1.976984973959653,2.865178378164486,2.819366536251453,0.8391481447028778,0.0,0.05555555555555555,2.2987866285758183,3.5004031328887577,True
